"address","totalClaim","bought","gasRefund","refundedTxs","totalClaimRaw"
"0x78d79b027e11b21e13a1887fde77347790b8bca6","20254.439650588456","18088.03025234486","2166.409398243596",2,"20254439650588456"
"0xf1c425105bc866227004f53aecf28c77db48625f","7567.282584762895","4789.551949992398","2777.730634770497",3,"7567282584762895"
"0x29dcf70568785401574c8cd06c07b39e26618bb7","5941.406902079832","4892.280765963387","1049.126136116445",1,"5941406902079832"
"0xecc072714365ee2fbd2e90c752c07a95641a5fe6","34107.847343785588","28402.518678770504","5705.328665015084",4,"34107847343785588"
"0xdaa80a4f8237f6728feb901c04e7ab29c48e9e1d","28648.405821491227","25102.195226584385","3546.210594906842",5,"28648405821491227"
"0x64ec24675d7bbc80f954ff15edd57d381f5b3e1a","260717.77073516785","256917.773691909955","3799.997043257895",3,"260717770735167850"
"0xb78fd9e442eef5f34c939ac9209319146654a361","18404.926669212856","13327.520066949695","5077.406602263161",3,"18404926669212856"
"0xf2670ebdd32ead8c41bc627cbb95f3e9c4a68393","6990.157593526726","5496.9421291198","1493.215464406926",3,"6990157593526726"
"0x973b79656f9a2b6d3f9b04e93f3c340c9f7b4c6c","4277.673099916606","3228.884201734422","1048.788898182184",1,"4277673099916606"
"0x5d56a3e85c52b8d3ac595a3922ea7e1a3ea948a0","7693.882040107652","5931.708446737177","1762.173593370475",1,"7693882040107652"
"0x79fa12e26e5d7c93dcb3d759cf62d7b6067a9444","32760.563353021669","30306.76091657985","2453.802436441819",2,"32760563353021669"
"0x835a4044291c94e60f71ba6bacc437dd0d080d1a","22802.645179866969","21711.381964935974","1091.263214930995",1,"22802645179866969"
"0xbbe167e5c3379de355430dc168d098d7fdcbd2d3","34687.926494468151","31427.282356118192","3260.644138349959",3,"34687926494468151"
"0x6d553fb941ec883fa2484e80bde1ad50231e42ff","91589.554246442394","84822.339862734594","6767.2143837078",6,"91589554246442394"
"0x51679136e1a3407912f8fa131bc5f611c52d9fee","18881.59413222998","17832.805234047796","1048.788898182184",1,"18881594132229980"
"0xdb41171af6c39ad4785cad0e683f9a61a2129e8c","95424.890887842893","91526.977834693017","3897.913053149876",4,"95424890887842893"
"0xd879ca8459d31cc512542bf6d0b64467de97ab59","23287.151909998997","20000.0","3287.151909998997",2,"23287151909998997"
"0x4b37af112c62232280c87a5e71fb0ce21b7ef407","226885.399381508561","225004.886895834817","1880.512485673744",2,"226885399381508561"
"0x81178b143737677629d61d47199d76a32b537d96","159572.097536994946","155987.942581506151","3584.154955488795",5,"159572097536994946"
"0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6","2509948.499234911825","2500319.623100077952","9628.876134833873",9,"2509948499234911825"
"0x381c57356b68fa4ccfb9804003034b0477cf56dc","31035.989594069527","29635.173100968128","1400.816493101399",1,"31035989594069527"
"0x4f70533a500f0d9dcc3bc92a2e74e5a998f4f3a3","46262.595583055957","45177.692481206822","1084.903101849135",1,"46262595583055957"
"0x5e1dd88ffb9a3e7abd2e92998f6e9e13bc266ac8","94276.602703574448","91489.427305473701","2787.175398100747",2,"94276602703574448"
"0xa4802ffc08dc8cba1643c69829cabd705e1891d2","21508.920450288684","20315.193503634138","1193.726946654546",1,"21508920450288684"
"0x72d0d9c1026494e07189589e1b531462f4deeff0","69302.803099789375","66425.937030275472","2876.866069513903",3,"69302803099789375"
"0xd9116827b463ab5886262a6b705c858dcb75a32a","20760.560321319291","19629.726542203123","1130.833779116168",1,"20760560321319291"
"0xeda39af25b25f179bed410ecc6d33060952b7db3","210428.483946741339","205254.411898604961","5174.072048136378",7,"210428483946741339"
"0xedc2fdcc98b72e6e0406e795e485f1665ec8cfc6","63060.606476750735","60144.968377101173","2915.638099649562",2,"63060606476750735"
"0xfd432fde40256cf0afad2a9353431c62f0c0f8cc","80443.506715303408","79303.335463897601","1140.171251405807",1,"80443506715303408"
"0x68a335b5ebdcb62567ef548dc08c8e61ac07b153","21593.851060738908","19426.497273711076","2167.353787027832",1,"21593851060738908"
"0xb7f6227f09cf8bd2c8897c71d3b980f42ac95544","26833.860533681509","25703.026754565341","1130.833779116168",1,"26833860533681509"
"0xbdc4d451dcab410dca2699fce2f25cf20f7ab61d","32632.911260174133","30051.496833763774","2581.414426410359",2,"32632911260174133"
"0x9b73f904995230750f92c8a4d26a6cf42c0aad51","8860.018521461507","6297.175331523992","2562.843189937515",3,"8860018521461507"
"0xf2adad1e054f788412af20b18f3a0cdf8b2e208e","11348.404194811187","10217.570415695019","1130.833779116168",1,"11348404194811187"
"0xc96206fb6e4f75734148577dcf137186bed2fb2d","89568.113895287736","86747.517666344311","2820.596228943425",2,"89568113895287736"
